Folder,DOI,Publication_link,Title,Abstract,Scientific_Name,Common_Name,Sharing_Link,Requires_Authorization,Phenotype,Map,Pedigree,N_Geno,N_markers,Download_Instructions,Tags
00001_YellowFeverMosquito,https://doi.org/10.5061/dryad.5x69p8d5j,https://journals.plos.org/plosntds/article?id=10.1371/journal.pntd.0005718,"Multiple introductions of the dengue vector, Aedes aegypti, into California","The yellow fever mosquito Aedes aegypti inhabits much of the tropical and subtropical world and is a primary vector of dengue, Zika, and chikungunya viruses. Breeding populations of A. aegypti were first reported in California (CA) in 2013. Initial genetic analyses using 12 microsatellites on collections from Northern CA in 2013 indicated the South Central US region as the likely source of the introduction. We expanded genetic analyses of CA A. aegypti by: (a) examining additional Northern CA samples and including samples from Southern CA, (b) including more southern US populations for comparison, and (c) genotyping a subset of samples at 15,698 SNPs. Major results are: (1) Northern and Southern CA populations are distinct. (2) Northern populations are more genetically diverse than Southern CA populations. (3) Northern and Southern CA groups were likely founded by two independent introductions which came from the South Central US and Southwest US/northern Mexico regions respectively. (4) Our genetic data suggest that the founding events giving rise to the Northern CA and Southern CA populations likely occurred before the populations were first recognized in 2013 and 2014, respectively. (5) A Northern CA population analyzed at multiple time-points (two years apart) is genetically stable, consistent with permanent in situ breeding. These results expand previous work on the origin of California A. aegypti with the novel finding that this species entered California on multiple occasions, likely some years before its initial detection. This work has implications for mosquito surveillance and vector control activities not only in California but also in other regions where the distribution of this invasive mosquito is expanding.",Aedes aegypti,Yellow Fever Mosquito,https://datadryad.org/stash/dataset/doi:10.5061/dryad.5x69p8d5j,FALSE,FALSE,TRUE,FALSE,381,20003,Unzip file,Aedes aegypti; mosquito genetics; vector-borne diseases; population genetics; invasive species; mosquito surveillance; vector control; genetic diversity
00002_GreenAnole,https://doi.org/10.5061/dryad.qbzkh18ks,https://academic.oup.com/evolut/article/77/5/1175/7061906,Convergence or redundancy: alternative views about the evolutionary genomics of character displacement,"An evolutionary debate contrasts the importance of genetic convergence versus genetic redundancy. In genetic convergence, the same adaptive trait evolves because of similar genetic changes. In genetic redundancy, the adaptive trait evolves using different genetic combinations, and populations might not share the same genetic changes. Here we address this debate by examining single nucleotide polymorphisms (SNPs) associated with the rapid evolution of character displacement in Anolis carolinensis populations inhabiting replicate islands with and without a competitor species (1Spp and 2Spp islands, respectively). We identify 215-outliers SNPs that have improbably large FST values, low nucleotide variation, greater linkage than expected and that are enriched for genes underlying animal movement. The pattern of SNP divergence between 1Spp and 2Spp populations supports both genetic convergence and genetic redundancy for character displacement. In support of genetic convergence: all 215-outliers SNPs are shared among at least three of the five 2Spp island populations, and 23% of outlier SNPS are shared among all five 2Spp island populations. In contrast, in support of genetic redundancy: many outlier SNPs only have meaningful allele frequency differences between 1Spp and 2Spp islands on a few 2Spp islands. That is, on at least one of the 2Spp islands, 77% of outlier SNPs have allele frequencies more similar to those on 1Spp islands than to those on 2Spp islands. Focusing on genetic convergence is scientifically rigorous because it relies on replication. Yet, this focus distracts from the possibility that there are multiple, redundant genetic solutions that enhance the rate and stability of adaptive change.",Anolis carolinensis,Green anole,https://datadryad.org/stash/dataset/doi:10.5061/dryad.qbzkh18ks,FALSE,TRUE,TRUE,FALSE,94,44120,Read Supplemental_Sample_description.txt,genetic convergence; genetic redundancy; SNP analysis; adaptive evolution; Anolis carolinensis; character displacement; evolutionary genetics; island biogeography
00003_GrowthInArabidopsisThaliana,https://doi.org/10.3389/fgene.2020.609117,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2020.609117/full,Prior Biological Knowledge Improves Genomic Prediction of Growth-Related Traits in Arabidopsis thaliana,"Prediction of growth-related complex traits is highly important for crop breeding. Photosynthesis efficiency and biomass are direct indicators of overall plant performance and therefore even minor improvements in these traits can result in significant breeding gains. Crop breeding for complex traits has been revolutionized by technological developments in genomics and phenomics. Capitalizing on the growing availability of genomics data, genome-wide marker-based prediction models allow for efficient selection of the best parents for the next generation without the need for phenotypic information. Until now such models mostly predict the phenotype directly from the genotype and fail to make use of relevant biological knowledge. It is an open question to what extent the use of such biological knowledge is beneficial for improving genomic prediction accuracy and reliability. In this study, we explored the use of publicly available biological information for genomic prediction of photosynthetic light use efficiency (ΦPSII) and projected leaf area (PLA) in Arabidopsis thaliana. To explore the use of various types of knowledge, we mapped genomic polymorphisms to Gene Ontology (GO) terms and transcriptomics-based gene clusters, and applied these in a Genomic Feature Best Linear Unbiased Predictor (GFBLUP) model, which is an extension to the traditional Genomic BLUP (GBLUP) benchmark. Our results suggest that incorporation of prior biological knowledge can improve genomic prediction accuracy for both ΦPSII and PLA. The improvement achieved depends on the trait, type of knowledge and trait heritability. Moreover, transcriptomics offers complementary evidence to the Gene Ontology for improvement when used to define functional groups of genes. In conclusion, prior knowledge about trait-specific groups of genes can be directly translated into improved genomic prediction.",Arabidopsis thaliana,Thale cress,https://git.wur.nl/faroo002/pub1,FALSE,TRUE,TRUE,FALSE,344,207982,"Go to folder ""data/"", download only needed files.",crop breeding; genomics; phenomics; genomic prediction; photosynthesis efficiency; Arabidopsis thaliana; Gene Ontology; transcriptomics
00004_AvenaSativaGenomicData,https://doi.org/10.3389/fgene.2021.643733,https://www.frontiersin.org/journals/genetics/articles/10.3389/fgene.2021.643733/full,Improving Genomic Prediction for Seed Quality Traits in Oat (Avena sativa L.) Using Trait-Specific Relationship Matrices,"The observable phenotype is the manifestation of information that is passed along different organization levels (transcriptional, translational, and metabolic) of a biological system. The widespread use of various omic technologies (RNA-sequencing, metabolomics, etc.) has provided plant genetics and breeders with a wealth of information on pertinent intermediate molecular processes that may help explain variation in conventional traits such as yield, seed quality, and fitness, among others. A major challenge is effectively using these data to help predict the genetic merit of new, unobserved individuals for conventional agronomic traits. Trait-specific genomic relationship matrices (TGRMs) model the relationships between individuals using genome-wide markers (SNPs) and place greater emphasis on markers that most relevant to the trait compared to conventional genomic relationship matrices. Given that these approaches define relationships based on putative causal loci, it is expected that these approaches should improve predictions for related traits. In this study we evaluated the use of TGRMs to accommodate information on intermediate molecular phenotypes (referred to as endophenotypes) and to predict an agronomic trait, total lipid content, in oat seed. Nine fatty acids were quantified in a panel of 336 oat lines. Marker effects were estimated for each endophenotype, and were used to construct TGRMs. A multikernel TRGM model (MK-TRGM-BLUP) was used to predict total seed lipid content in an independent panel of 210 oat lines. The MK-TRGM-BLUP approach significantly improved predictions for total lipid content when compared to a conventional genomic BLUP (gBLUP) approach. Given that the MK-TGRM-BLUP approach leverages information on the nine fatty acids to predict genetic values for total lipid content in unobserved individuals, we compared the MK-TGRM-BLUP approach to a multi-trait gBLUP (MT-gBLUP) approach that jointly fits phenotypes for fatty acids and total lipid content. The MK-TGRM-BLUP approach significantly outperformed MT-gBLUP. Collectively, these results highlight the utility of using TGRM to accommodate information on endophenotypes and improve genomic prediction for a conventional agronomic trait.",Avena sativa,Oat,https://github.com/malachycampbell/TGRM_frontiers,FALSE,FALSE,FALSE,FALSE,336,62003,Download DivPanel_markers.txt.zip and unzip,genomics; phenotypic prediction; plant breeding; omics technologies; genomic relationship matrices; molecular phenotypes; trait-specific prediction; agricultural genetics
00005_PopulationsOfCattle,https://doi.org/10.5061/dryad.1525t,https://academic.oup.com/genetics/article/202/2/799/5930244,"An Equation to Predict the Accuracy of Genomic Values by Combining Data from Multiple Traits, Populations, or Environments","Predicting the accuracy of estimated genomic values using genome-wide marker information is an important step in designing training populations. Currently, different deterministic equations are available to predict accuracy within populations, but not for multipopulation scenarios where data from multiple breeds, lines or environments are combined. Therefore, our objective was to develop and validate a deterministic equation to predict the accuracy of genomic values when different populations are combined in one training population. The input parameters of the derived prediction equation are the number of individuals and the heritability from each of the populations in the training population; the genetic correlations between the populations, i.e., the correlation between allele substitution effects of quantitative trait loci; the effective number of chromosome segments across predicted and training populations; and the proportion of the genetic variance in the predicted population captured by the markers in each of the training populations. Validation was performed based on real genotype information of 1033 Holstein–Friesian cows that were divided into three different populations by combining half-sib families in the same population. Phenotypes were simulated for multiple scenarios, differing in heritability within populations and in genetic correlations between the populations. Results showed that the derived equation can accurately predict the accuracy of estimating genomic values for different scenarios of multipopulation genomic prediction. Therefore, the derived equation can be used to investigate the potential accuracy of different multipopulation genomic prediction scenarios and to decide on the most optimal design of training populations.",Bos taurus,Cattle,https://datadryad.org/stash/dataset/doi:10.5061/dryad.1525t,FALSE,TRUE,FALSE,TRUE,1033,422405,NA,genomic prediction; training populations; heritability; genetic correlations; quantitative trait loci; phenotype simulation; multipopulation analysis; deterministic equations
00006_AncestryOfDomesticatedCattle,https://doi.org/10.5061/dryad.th092,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004254,"Worldwide Patterns of Ancestry, Divergence, and Admixture in Domesticated Cattle","The domestication and development of cattle has considerably impacted human societies, but the histories of cattle breeds and populations have been poorly understood especially for African, Asian, and American breeds. Using genotypes from 43,043 autosomal single nucleotide polymorphism markers scored in 1,543 animals, we evaluate the population structure of 134 domesticated bovid breeds. Regardless of the analytical method or sample subset, the three major groups of Asian indicine, Eurasian taurine, and African taurine were consistently observed. Patterns of geographic dispersal resulting from co-migration with humans and exportation are recognizable in phylogenetic networks. All analytical methods reveal patterns of hybridization which occurred after divergence. Using 19 breeds, we map the cline of indicine introgression into Africa. We infer that African taurine possess a large portion of wild African auroch ancestry, causing their divergence from Eurasian taurine. We detect exportation patterns in Asia and identify a cline of Eurasian taurine/indicine hybridization in Asia. We also identify the influence of species other than Bos taurus taurus and B. t. indicus in the formation of Asian breeds. We detect the pronounced influence of Shorthorn cattle in the formation of European breeds. Iberian and Italian cattle possess introgression from African taurine. American Criollo cattle originate from Iberia, and not directly from Africa with African ancestry inherited via Iberian ancestors. Indicine introgression into American cattle occurred in the Americas, and not Europe. We argue that cattle migration, movement and trading followed by admixture have been important forces in shaping modern bovine genomic variation.",Bos taurus,Cattle,https://datadryad.org/stash/dataset/doi:10.5061/dryad.th092,FALSE,TRUE,TRUE,TRUE,1543,86086,NA,cattle domestication; genetic diversity; livestock evolution; breed differentiation; population genetics; phylogenetic analysis; bovine ancestry; introgression patterns
00007_BlueCrab,https://doi.org/10.5061/dryad.c3318,https://bioone.org/journals/Journal-of-Shellfish-Research/volume-36/issue-1/035.036.0128/Population-Genomic-Analysis-of-the-Blue-Crab-iCallinectes-sapidus-i/10.2983/035.036.0128.short,Population Genomic Analysis of the Blue Crab Callinectes sapidus Using Genotyping-By-Sequencing,"Previous genetic studies of the blue crab Callinectes sapidus along the U.S. Atlantic and Gulf coasts have reported weak or temporally variable spatial structure, suggesting high gene flow among distant populations possibly facilitated by long-distance larval dispersal or other features of blue crab life history. The use of relatively few genetic markers, however, may have limited power to detect subtle but significant structure that could inform fisheries management. In this study, the potential for genome-scale datasets to uncover subtle patterns of population structure in the blue crab was examined using a high-throughput genotyping approach (genotyping-by-sequencing) that generated data for more than 9,600 single nucleotide polymorphisms (SNPs) in crabs from three populations: Panama City Beach, FL, Agawam River, MA, and Porto Alegre, Brazil. Principle components analyses among the three populations revealed very distinct clustering of the Brazilian samples from U.S. populations, likely reflecting restricted gene flow across the equator. Detailed analysis of population structure between the two U.S. populations revealed low but significant genetic differentiation (FST = 0.0103), with FST values ranging from -0.05 to 0.48. Previous studies have failed to detect significant genetic structure on a similar geographic scale. FST outlier analysis identified 242 loci (2.45% of total) with statistically extreme values at the false discovery rate α = 0.05 level, only 16 of which showed significant sequence homology to annotated proteins via BLASTx alignment. Top BLASTx hits were to crustacean or arthropod sequences and 8 of the 16 had high sequence similarity to transposable elements or related machinery. Finally, results of population assignment tests for the two U.S. populations showed that the full marker dataset provided good power to assign individuals back to their population of origin (∼83% and 92% success for Panama City Beach and Agawam River, respectively), which dropped significantly when using only 500 randomly selected SNPs (∼61% and 72% success). Overall, this study demonstrates the great utility of high-throughput sequencing technologies for characterizing fine-scale patterns of genetic structure in blue crabs, and this approach should substantially improve the delineation of stock structure and further advance our understanding of blue crab population connectivity and ecology.",Callinectes sapidus,Blue Crab,https://datadryad.org/stash/dataset/doi:10.5061/dryad.th092,FALSE,FALSE,FALSE,FALSE,26,5566,NA,genetics; blue crab; population structure; genotyping-by-sequencing; SNP analysis; fisheries management; gene flow; high-throughput sequencing technologies
00008_DromedaryCamels,https://doi.org/10.5061/dryad.n2z34tmwf,https://www.nature.com/articles/s41598-021-87296-7,Genomic prediction for growth using a low-density SNP panel in dromedary camels,"For thousands of years, camels have produced meat, milk, and fiber in harsh desert conditions. For a sustainable development to provide protein resources from desert areas, it is necessary to pay attention to genetic improvement in camel breeding. By using genotyping-by-sequencing (GBS) method we produced over 14,500 genome wide markers to conduct a genome- wide association study (GWAS) for investigating the birth weight, daily gain, and body weight of 96 dromedaries in the Iranian central desert. A total of 99 SNPs were associated with birth weight, daily gain, and body weight (p-value < 0.002). Genomic breeding values (GEBVs) were estimated with the BGLR package using (i) all 14,522 SNPs and (ii) the 99 SNPs by GWAS. Twenty-eight SNPs were associated with birth weight, daily gain, and body weight (p-value < 0.001). Annotation of the genomic region (s) within ± 100 kb of the associated SNPs facilitated prediction of 36 candidate genes. The accuracy of GEBVs was more than 0.65 based on all 14,522 SNPs, but the regression coefficients for birth weight, daily gain, and body weight were 0.39, 0.20, and 0.23, respectively. Because of low sample size, the GEBVs were predicted using the associated SNPs from GWAS. The accuracy of GEBVs based on the 99 associated SNPs was 0.62, 0.82, and 0.57 for birth weight, daily gain, and body weight. This report is the first GWAS using GBS on dromedary camels and identifies markers associated with growth traits that could help to plan breeding program to genetic improvement. Further researches using larger sample size and collaboration of the camel farmers and more profound understanding will permit verification of the associated SNPs identified in this project. The preliminary results of study show that genomic selection could be the appropriate way to genetic improvement of body weight in dromedary camels, which is challenging due to a long generation interval, seasonal reproduction, and lack of records and pedigrees.",Camelus dromedarius,Dromedary Camels,https://doi.org/10.5061/dryad.n2z34tmwf,FALSE,FALSE,TRUE,FALSE,96,86285,NA,camels; genotyping-by-sequencing; genome-wide association study; genetic improvement; dromedary camels; genomic breeding values; growth traits; genomic selection
00009_ACLinLabradorRetrievers,https://doi.org/10.1534/g3.120.401244,https://academic.oup.com/g3journal/article/10/8/2619/6048677,Bayesian and Machine Learning Models for Genomic Prediction of Anterior Cruciate Ligament Rupture in the Canine Model,"Anterior cruciate ligament (ACL) rupture is a common, debilitating condition that leads to early-onset osteoarthritis and reduced quality of human life. ACL rupture is a complex disease with both genetic and environmental risk factors. Characterizing the genetic basis of ACL rupture would provide the ability to identify individuals that have high genetic risk and allow the opportunity for preventative management. Spontaneous ACL rupture is also common in dogs and shows a similar clinical presentation and progression. Thus, the dog has emerged as an excellent genomic model for human ACL rupture. Genome-wide association studies (GWAS) in the dog have identified a number of candidate genetic variants, but research in genomic prediction has been limited. In this analysis, we explore several Bayesian and machine learning models for genomic prediction of ACL rupture in the Labrador Retriever dog. Our work demonstrates the feasibility of predicting ACL rupture from SNPs in the Labrador Retriever model with and without consideration of non-genetic risk factors. Genomic prediction including non-genetic risk factors approached clinical relevance using multiple linear Bayesian and non-linear models. This analysis represents the first steps toward development of a predictive algorithm for ACL rupture in the Labrador Retriever model. Future work may extend this algorithm to other high-risk breeds of dog. The ability to accurately predict individual dogs at high risk for ACL rupture would identify candidates for clinical trials that would benefit both veterinary and human medicine.",Canis lupus,Dogs,https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Baker_et_al_2020/12001344,FALSE,TRUE,TRUE,FALSE,622,126678,NA,ACL rupture; genomic prediction; machine learning; Bayesian models; genome-wide association studies; Labrador Retriever; osteoarthritis; genetic risk factors
00010_WolvesInMexico,https://doi.org/10.5061/dryad.g68k008,https://academic.oup.com/jhered/article/109/4/372/4948759?login=false,Genome-Wide Analysis of SNPs Is Consistent with No Domestic Dog Ancestry in the Endangered Mexican Wolf (Canis lupus baileyi),"The Mexican gray wolf (Canis lupus baileyi) was historically distributed throughout the southwestern United States and northern Mexico. Extensive predator removal campaigns during the early 20th century, however, resulted in its eventual extirpation by the mid 1980s. At this time, the Mexican wolf existed only in 3 separate captive lineages (McBride, Ghost Ranch, and Aragón) descended from 3, 2, and 2 founders, respectively. These lineages were merged in 1995 to increase the available genetic variation, and Mexican wolves were reintroduced into Arizona and New Mexico in 1998. Despite the ongoing management of the Mexican wolf population, it has been suggested that a proportion of the Mexican wolf ancestry may be recently derived from hybridization with domestic dogs. In this study, we genotyped 87 Mexican wolves, including individuals from all 3 captive lineages and cross-lineage wolves, for more than 172000 single nucleotide polymorphisms. We identified levels of genetic variation consistent with the pedigree record and effects of genetic rescue. To identify the potential to detect hybridization with domestic dogs, we compared our Mexican wolf genotypes with those from studies of domestic dogs and other gray wolves. The proportion of Mexican wolf ancestry assigned to domestic dogs was only between 0.06% (SD 0.23%) and 7.8% (SD 1.0%) for global and local ancestry estimates, respectively; and was consistent with simulated levels of incomplete lineage sorting. Overall, our results suggested that Mexican wolves lack biologically significant ancestry with dogs and have useful implications for the conservation and management of this endangered wolf subspecies.",Canis lupus,Wolves,https://datadryad.org/stash/dataset/doi:10.5061/dryad.g68k008,FALSE,FALSE,TRUE,FALSE,1021,74876,NA,Mexican gray wolf; genetic diversity; wildlife conservation; hybridization; captive breeding; reintroduction programs; endangered species management; genetic markers
